,link,label
0,https://demagog.org.pl/wypowiedzi/najwyzsza-inflacja-od-26-lat-o-ile-skoczyly-ceny-zywnosci/,Prawda
1,https://demagog.org.pl/wypowiedzi/koszty-obslugi-dlugu-moga-wzrosnac-ile-wynosza-obecnie/,Prawda
2,https://demagog.org.pl/wypowiedzi/atom-w-polsce-pol-miliona-wydatkow-zanim-wybrano-lokalizacje/,Prawda
3,https://demagog.org.pl/wypowiedzi/seniorzy-tona-w-dlugach-ile-wynosi-zadluzenie-emerytow/,Prawda
4,https://demagog.org.pl/wypowiedzi/satysfakcja-z-euro-ilu-europejczykow-obecnie-jest-zadowolonych/,Nieweryfikowalne
5,https://demagog.org.pl/fake_news/rzad-uruchomil-program-inwestycyjny-w-spolce-gaz-sistem-falsz/,Fake news
6,https://demagog.org.pl/fake_news/20-mln-zlotych-z-aplikacji-tsla-to-kolejne-internetowe-oszustwo/,Fake news
7,https://demagog.org.pl/wypowiedzi/ile-bialystok-moze-stracic-na-podatkowym-polskim-ladzie/,Częściowy fałsz
8,https://demagog.org.pl/wypowiedzi/unijna-oplata-od-plastiku-ile-zaplacila-polska/,Prawda
9,https://demagog.org.pl/fake_news/podszywaja-sie-pod-bank-millenium-i-oferuja-zyski-to-oszustwo/,Fake news
10,https://demagog.org.pl/wypowiedzi/niewydolne-wody-polskie-przyklady-niegospodarnego-dzialania/,Fałsz
11,https://demagog.org.pl/wypowiedzi/kto-jest-winny-drozyzny-polacy-najczesciej-wskazuja-rzad/,Prawda
12,https://demagog.org.pl/fake_news/atrakcyjne-inwestycje-w-akcje-orlenu-nowa-wersja-oszustwa/,Fake news
13,https://demagog.org.pl/fake_news/publiczna-platforma-inwestycyjna-to-zmyslona-informacja/,Fake news
14,https://demagog.org.pl/fake_news/rzad-moze-wyczyscic-polakom-konta-film-pelen-dezinformacji/,Fake news
15,https://demagog.org.pl/fake_news/ta-strona-pomnozy-twoje-pieniadze-predzej-wyludzi-twoje-dane/,Fake news
16,https://demagog.org.pl/fake_news/10-dowodow-ze-jestes-niewolnikiem-to-fake-newsy/,Fake news
17,https://demagog.org.pl/fake_news/gwarantowany-dochod-pasywny-od-orlenu-nie-to-oszustwo/,Fake news
18,https://demagog.org.pl/wypowiedzi/czy-wynagrodzenia-urzednikow-i-politykow-rosna-tak-samo/,Fałsz
19,https://demagog.org.pl/wypowiedzi/oszczednosci-polakow-ilu-z-nas-nie-ma-nic-na-czarna-godzine/,Prawda
20,https://demagog.org.pl/wypowiedzi/215-mld-zl-dlugu-poza-kontrola-parlamentu-sprawdzamy/,Prawda
21,https://demagog.org.pl/wypowiedzi/o-ile-wzrosly-dochody-polskich-milionerow/,Częściowy fałsz
22,https://demagog.org.pl/wypowiedzi/dlug-publiczny-w-2021-roku-jak-covid-19-wplynal-na-zadluzenie/,Prawda
23,https://demagog.org.pl/wypowiedzi/o-ile-wzrosly-dochody-samorzadow-za-rzadow-pis/,Częściowy fałsz
24,https://demagog.org.pl/wypowiedzi/deficyt-poza-kontrola-w-jaki-sposob-wyprowadzono-srodki/,Prawda
25,https://demagog.org.pl/wypowiedzi/sektor-bankowy-w-2022-roku-o-ile-wzrosly-jego-zyski/,Częściowy fałsz
